season,date,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds,source_url,game_report_url
2024,2024-10-24,"Sporting Cristal","Universitario de Deport",2,1,2.55,2.74,3.01,local-file,https://annabet.com/es/soccerstats/gamereport_1430719_Sporting_Cristal-Universitario_de_Deportes,24.10.2024.html
2024,2024-10-24,"Carlos A. Mannucci","Cusco FC",4,1,2.37,3.54,2.66,local-file,https://annabet.com/es/soccerstats/gamereport_1430717_Carlos_A._Mannucci-Cusco_FC,24.10.2024.html
2024,2024-10-26,"Deportivo Garcilaso","Alianza Lima",1,2,4.15,3.25,1.86,local-file,https://annabet.com/es/soccerstats/gamereport_1431917_Deportivo_Garcilaso-Alianza_Lima,26.10.2024.html
2024,2024-10-27,"Universitario de Deport","Cienciano",3,1,1.18,6.24,13.29,local-file,https://annabet.com/es/soccerstats/gamereport_1432473_Universitario_de_Deportes-Cienciano,27.10.2024.html
2024,2024-10-27,"Sport Huancayo","FBC Melgar",2,4,4.02,3.62,1.78,local-file,https://annabet.com/es/soccerstats/gamereport_1432454_Sport_Huancayo-FBC_Melgar,27.10.2024.html
2024,2024-10-27,"Sport Boys","UTC Cajamarca",1,1,2.04,3.38,3.52,local-file,https://annabet.com/es/soccerstats/gamereport_1432391_Sport_Boys-UTC_Cajamarca,27.10.2024.html
2024,2024-10-27,"Unión Comercio","Sporting Cristal",0,12,10.90,5.90,1.21,local-file,https://annabet.com/es/soccerstats/gamereport_1432392_Union_Comercio-Sporting_Cristal,27.10.2024.html
2024,2024-10-27,"Universidad César Valle","Carlos A. Mannucci",0,2,2.07,3.16,3.57,local-file,https://annabet.com/es/soccerstats/gamereport_1431932_Universidad_Cesar_Vallejo-Carlos_A._Mannucci,27.10.2024.html
2024,2024-10-28,"Cusco FC","Atlético Grau",0,1,1.75,3.49,4.48,local-file,https://annabet.com/es/soccerstats/gamereport_1432605_Cusco_FC-Atletico_Grau,28.10.2024.html
2024,2024-10-28,"Comerciantes Unidos","ADT de Tarma",0,0,3.20,3.36,2.10,local-file,https://annabet.com/es/soccerstats/gamereport_1432593_Comerciantes_Unidos-ADT_de_Tarma,28.10.2024.html
2024,2024-10-28,"Alianza Atlético","Los Chankas",1,0,1.59,3.53,5.74,local-file,https://annabet.com/es/soccerstats/gamereport_1432575_Alianza_Atletico-Los_Chankas,28.10.2024.html
2024,2024-10-31,"Cienciano","Unión Comercio",7,0,1.03,25.05,47.95,local-file,https://annabet.com/es/soccerstats/gamereport_1433198_Cienciano-Union_Comercio,31.10.2024.html
2024,2024-11-01,"ADT de Tarma","Sport Boys",1,0,1.36,4.58,7.27,local-file,https://annabet.com/es/soccerstats/gamereport_1433352_ADT_de_Tarma-Sport_Boys,01.11.2024.html
2024,2024-11-02,"Atlético Grau","Universidad César Valle",3,1,2.08,3.52,3.23,local-file,https://annabet.com/es/soccerstats/gamereport_1434006_Atletico_Grau-Universidad_Cesar_Vallejo,02.11.2024.html
2024,2024-11-02,"Carlos A. Mannucci","Alianza Atlético",2,2,1.50,3.97,5.61,local-file,https://annabet.com/es/soccerstats/gamereport_1434005_Carlos_A._Mannucci-Alianza_Atletico,02.11.2024.html
2024,2024-11-02,"UTC Cajamarca","Sport Huancayo",1,1,1.49,4.01,6.04,local-file,https://annabet.com/es/soccerstats/gamereport_1434004_UTC_Cajamarca-Sport_Huancayo,02.11.2024.html
2024,2024-11-03,"Alianza Lima","Cusco FC",1,2,1.12,7.25,16.37,local-file,https://annabet.com/es/soccerstats/gamereport_1434560_Alianza_Lima-Cusco_FC,03.11.2024.html
2024,2024-11-03,"FBC Melgar","Deportivo Garcilaso",1,1,1.21,5.59,10.51,local-file,https://annabet.com/es/soccerstats/gamereport_1434587_FBC_Melgar-Deportivo_Garcilaso,03.11.2024.html
2024,2024-11-03,"Los Chankas","Universitario de Deport",0,0,6.42,4.46,1.38,local-file,https://annabet.com/es/soccerstats/gamereport_1434561_Los_Chankas-Universitario_de_Deportes,03.11.2024.html
2024,2024-11-03,"Sporting Cristal","Comerciantes Unidos",3,0,1.10,9.25,18.86,local-file,https://annabet.com/es/soccerstats/gamereport_1434471_Sporting_Cristal-Comerciantes_Unidos,03.11.2024.html
