Date,HomeTeam,HomeForm,AwayTeam,AwayForm,HomeScore,AwayScore,HomeOdds,DrawOdds,AwayOdds
2023-02-03,Real Garcilaso,,Sport Huancayo,,0,3,2.12,3.04,3.14
2023-02-04,Deportivo Garcilaso,,Deportivo Binacional,,3,0,2.06,3.25,3.25
2023-02-04,UTC Cajamarca,,Cienciano,,3,0,2.36,3.14,2.87
2023-02-04,Universitario,,Academia Cantolao,,4,0,1.43,4.47,7.11
2023-02-04,Atlético Grau,,Melgar,,3,0,3.60,3.10,2.00
2023-02-05,Sporting Cristal,,Alianza Lima,,3,0,2.37,2.65,2.65
2023-02-06,César Vallejo,,Alianza Atlético,,2,2,1.69,3.54,4.13
2023-02-06,Sport Boys,,Unión Comercio,,2,1,1.94,3.60,3.49
2023-02-07,Deportivo Municipal,,Carlos Manucci,,0,3,2.30,3.00,2.90
2023-02-10,Cienciano,,Real Garcilaso,,2,0,1.74,3.39,4.07
2023-02-11,Academia Cantolao,,César Vallejo,,1,2,3.38,3.40,2.09
2023-02-11,ADT,,Deportivo Garcilaso,,1,2,1.43,3.98,4.83
2023-02-11,Deportivo Binacional,,Atlético Grau,,2,4,1.79,3.60,3.75
2023-02-12,Alianza Atlético,,UTC Cajamarca,,2,0,1.97,3.56,3.56
2023-02-12,Alianza Lima,,Sport Boys,,2,0,1.20,5.85,9.93
2023-02-12,Carlos Manucci,,Sporting Cristal,,1,1,4.18,3.85,1.65
2023-02-12,Unión Comercio,,Universitario,,1,0,3.26,3.35,2.00
2023-02-13,Melgar,,Deportivo Municipal,,0,2,1.21,5.50,8.80
2023-02-17,César Vallejo,,Unión Comercio,,3,1,1.59,4.04,5.10
2023-02-17,Sporting Cristal,,Melgar,,1,0,2.16,3.34,3.26
2023-02-18,Sport Boys,,Carlos Manucci,,3,1,2.30,3.30,2.75
2023-02-18,Sport Huancayo,,Cienciano,,0,2,2.31,3.60,3.06
2023-02-19,Atlético Grau,,ADT,,1,1,1.67,3.70,4.24
2023-02-19,Universitario,,Alianza Lima,,3,2,2.45,3.20,2.60
2023-02-19,Real Garcilaso,,Alianza Atlético,,2,1,1.62,3.75,4.50
2023-02-20,Deportivo Municipal,,Deportivo Binacional,,2,0,1.86,3.32,3.75
2023-02-22,UTC Cajamarca,,Academia Cantolao,,1,0,1.56,3.62,4.98
2023-02-25,Alianza Atlético,,Sport Huancayo,,4,2,2.20,3.10,3.15
2023-02-25,Deportivo Garcilaso,,Atlético Grau,,2,0,1.81,3.54,4.24
2023-02-26,ADT,,Deportivo Municipal,,3,0,1.87,3.40,3.45
2023-02-26,Carlos Manucci,,Universitario,,2,0,3.05,3.27,2.01
2023-02-26,Unión Comercio,,UTC Cajamarca,,1,0,2.38,3.00,2.63
2023-02-27,Academia Cantolao,,Real Garcilaso,,2,3,2.46,3.27,2.68
2023-03-03,Sport Boys,,Deportivo Binacional,,2,2,2.05,3.00,3.25
2023-03-04,César Vallejo,,Carlos Manucci,,2,0,2.00,3.00,3.55
2023-03-04,Sport Huancayo,,Academia Cantolao,,4,0,1.36,4.33,7.00
2023-03-04,Sporting Cristal,,ADT,,3,0,1.40,4.10,6.50
2023-03-05,Universitario,,Melgar,,3,0,1.50,3.35,3.05
2023-03-05,UTC Cajamarca,,Alianza Lima,,0,1,3.00,3.45,2.34
2023-03-06,Deportivo Municipal,,Deportivo Garcilaso,,0,3,2.21,2.97,3.07
2023-03-06,Real Garcilaso,,Unión Comercio,,2,1,1.43,4.13,5.95
2023-03-10,ADT,,Sport Boys,,1,0,1.53,4.06,5.19
2023-03-11,Alianza Lima,,Real Garcilaso,,2,0,1.30,5.00,9.00
2023-03-12,Unión Comercio,,Sport Huancayo,,2,0,1.95,3.20,3.50
2023-03-12,Academia Cantolao,,Cienciano,,1,0,2.90,3.20,2.30
2023-03-12,Atlético Grau,,Deportivo Municipal,,2,1,1.74,3.35,4.25
2023-03-12,Deportivo Garcilaso,,Sporting Cristal,,4,1,2.70,3.60,2.35
2023-03-13,Deportivo Binacional,,Universitario,,1,2,2.55,3.25,2.75
2023-03-17,Sport Boys,,Deportivo Garcilaso,,1,3,2.31,3.20,2.85
2023-03-18,Alianza Atlético,,Academia Cantolao,,3,0,1.40,3.70,7.50
2023-03-18,Cienciano,,Unión Comercio,,3,0,1.40,4.33,7.00
2023-03-18,UTC Cajamarca,,Melgar,,0,0,2.75,3.10,2.45
2023-03-18,Universitario,,ADT,,3,1,1.33,4.50,8.50
2023-03-19,Sporting Cristal,,Atlético Grau,,2,1,1.42,3.90,6.25
2023-03-19,Sport Huancayo,,Alianza Lima,,2,1,2.55,3.20,2.37
2023-03-19,César Vallejo,,Deportivo Binacional,,2,0,1.60,3.45,5.00
2023-03-20,Real Garcilaso,,Carlos Manucci,,3,0,1.49,3.83,5.65
2023-03-24,Universitario,,Cienciano,,3,0,1.40,4.20,7.00
2023-03-25,César Vallejo,,Sport Huancayo,,0,2,1.70,3.00,4.40
2023-03-25,Sporting Cristal,,Academia Cantolao,,2,0,1.14,6.00,17.00
2023-03-26,ADT,,Melgar,,0,0,2.95,3.05,2.35
2023-03-26,Atlético Grau,,Alianza Lima,,1,2,3.20,3.20,2.02
2023-03-26,Deportivo Municipal,,Unión Comercio,,2,0,2.20,3.10,3.10
2023-03-26,Sport Boys,,Alianza Atlético,,0,1,2.35,3.05,2.85
2023-03-26,Deportivo Garcilaso,,Carlos Manucci,,3,2,1.50,3.90,5.25
2023-03-27,UTC Cajamarca,,Real Garcilaso,,1,0,1.70,3.50,4.33
2023-03-31,ADT,,César Vallejo,,2,0,1.91,3.30,3.50
2023-03-31,Deportivo Garcilaso,,Universitario,,0,1,2.59,3.34,2.60
2023-03-31,Deportivo Municipal,,Sporting Cristal,,1,1,4.50,3.75,1.62
2023-04-01,Alianza Lima,,Cienciano,,2,0,1.37,5.00,8.40
2023-04-01,Melgar,,Real Garcilaso,,1,1,1.57,3.75,3.75
2023-04-02,Atlético Grau,,Sport Boys,,3,0,1.55,4.30,5.80
2023-04-02,Carlos Manucci,,Sport Huancayo,,0,0,2.23,3.45,3.20
2023-04-02,Deportivo Binacional,,UTC Cajamarca,,1,1,1.80,3.80,4.30
2023-04-02,Unión Comercio,,Alianza Atlético,,3,3,2.05,3.30,3.45
2023-04-07,Real Garcilaso,,Deportivo Binacional,,2,1,1.58,3.48,4.56
2023-04-08,Cienciano,,Carlos Manucci,,1,0,1.25,5.00,11.00
2023-04-08,Sport Boys,,Deportivo Municipal,,0,2,2.18,3.40,3.14
2023-04-08,UTC Cajamarca,,ADT,,1,0,2.20,3.13,3.20
2023-04-09,Alianza Atlético,,Alianza Lima,,0,1,3.15,3.13,2.16
2023-04-09,Sport Huancayo,,Melgar,,1,1,2.24,3.22,3.00
2023-04-09,Universitario,,Atlético Grau,,2,1,1.48,4.20,6.35
2023-04-10,Academia Cantolao,,Unión Comercio,,1,2,2.50,3.10,2.63
2023-04-10,César Vallejo,,Deportivo Garcilaso,,3,0,1.67,3.60,4.50
2023-04-14,Melgar,,Cienciano,,1,0,1.78,3.25,3.95
2023-04-14,Sporting Cristal,,Sport Boys,,1,1,1.25,5.20,7.80
2023-04-15,Atlético Grau,,César Vallejo,,1,1,2.13,3.46,3.22
2023-04-15,Alianza Lima,,Academia Cantolao,,3,0,1.25,5.00,12.00
2023-04-16,ADT,,Real Garcilaso,,0,2,2.09,3.15,3.17
2023-04-16,Carlos Manucci,,Alianza Atlético,,1,0,2.33,3.30,2.59
2023-04-16,Deportivo Binacional,,Sport Huancayo,,5,3,2.24,3.35,2.67
2023-04-16,Deportivo Garcilaso,,UTC Cajamarca,,2,2,1.75,3.40,3.95
2023-04-16,Deportivo Municipal,,Universitario,,1,2,3.05,3.10,2.13
2023-04-21,UTC Cajamarca,,Atlético Grau,,1,1,1.85,3.50,3.90
2023-04-22,Academia Cantolao,,Carlos Manucci,,0,2,2.70,3.10,2.40
2023-04-22,Cienciano,,Deportivo Binacional,,1,1,1.57,3.70,5.50
2023-04-22,Sport Huancayo,,ADT,,1,3,1.53,3.60,6.00
2023-04-23,Real Garcilaso,,Deportivo Garcilaso,,2,1,1.69,3.38,3.94
2023-04-23,Unión Comercio,,Alianza Lima,,1,3,3.92,3.30,1.66
2023-04-24,Alianza Atlético,,Melgar,,3,3,2.20,3.00,3.25
2023-04-24,César Vallejo,,Deportivo Municipal,,1,1,1.60,3.40,5.75
2023-04-24,Universitario,,Sporting Cristal,,2,0,2.15,3.25,3.00
2023-04-28,Sporting Cristal,,César Vallejo,,1,1,1.36,3.94,6.70
2023-04-29,Atlético Grau,,Real Garcilaso,,3,0,1.82,3.26,3.53
2023-04-29,Deportivo Garcilaso,,Sport Huancayo,,1,1,1.90,3.50,3.60
2023-04-29,Melgar,,Academia Cantolao,,5,0,1.20,5.75,13.00
2023-04-29,Sport Boys,,Universitario,,0,3,5.50,3.60,1.53
2023-04-30,ADT,,Cienciano,,3,4,1.99,3.30,3.30
2023-04-30,Carlos Manucci,,Unión Comercio,,2,0,1.76,3.45,4.00
2023-04-30,Deportivo Binacional,,Alianza Atlético,,4,2,1.53,3.60,5.50
2023-04-30,Deportivo Municipal,,UTC Cajamarca,,2,0,1.68,3.45,4.45
2023-05-05,Academia Cantolao,,Deportivo Binacional,,1,0,3.13,3.40,2.10
2023-05-05,Real Garcilaso,,Deportivo Municipal,,1,0,1.62,3.62,4.62
2023-05-06,Alianza Atlético,,ADT,,1,1,1.80,3.45,3.65
2023-05-06,Cienciano,,Deportivo Garcilaso,,0,0,1.73,3.55,4.30
2023-05-06,Sport Huancayo,,Atlético Grau,,0,0,1.60,3.80,5.00
2023-05-07,Alianza Lima,,Carlos Manucci,,3,0,1.28,4.60,9.00
2023-05-07,César Vallejo,,Sport Boys,,2,0,1.40,4.20,7.00
2023-05-07,UTC Cajamarca,,Sporting Cristal,,1,1,3.30,3.20,2.00
2023-05-08,Unión Comercio,,Melgar,,1,1,2.70,3.20,2.30
2023-05-10,Cienciano,,Alianza Atlético,,5,2,1.57,3.85,5.25
2023-05-11,Alianza Lima,,César Vallejo,,2,0,1.33,4.30,5.80
2023-05-12,Deportivo Binacional,,ADT,,1,0,1.71,3.60,4.19
2023-05-12,Melgar,,Sport Boys,,2,0,1.16,6.90,16.50
2023-05-12,Sport Huancayo,,UTC Cajamarca,,5,1,1.62,3.60,4.45
2023-05-13,Carlos Manucci,,Atlético Grau,,1,0,2.15,3.25,2.57
2023-05-13,Unión Comercio,,Sporting Cristal,,1,6,3.40,3.55,1.90
2023-05-14,Alianza Atlético,,Universitario,,3,1,2.90,3.60,2.20
2023-05-14,Cienciano,,César Vallejo,,1,1,1.88,3.50,3.90
2023-05-15,Alianza Lima,,Deportivo Municipal,,2,1,1.38,4.45,6.60
2023-05-15,Melgar,,Deportivo Garcilaso,,2,4,1.48,4.10,5.50
2023-05-16,Academia Cantolao,,Sport Boys,,0,0,2.50,3.20,2.60
2023-05-17,Carlos Manucci,,UTC Cajamarca,,0,1,1.90,3.50,4.00
2023-05-17,Deportivo Binacional,,Sporting Cristal,,0,1,2.60,3.40,2.60
2023-05-19,Melgar,,Alianza Lima,,2,1,2.00,3.30,3.55
2023-05-19,Universitario,,César Vallejo,,4,0,1.50,4.10,6.00
2023-05-20,ADT,,Academia Cantolao,,1,1,1.30,4.60,7.50
2023-05-20,Deportivo Garcilaso,,Alianza Atlético,,3,2,1.40,4.25,7.00
2023-05-20,Sporting Cristal,,Real Garcilaso,,3,2,1.37,4.01,6.12
2023-05-21,Atlético Grau,,Cienciano,,4,0,1.87,3.60,3.90
2023-05-21,Deportivo Municipal,,Sport Huancayo,,1,2,2.20,3.40,3.10
2023-05-22,Deportivo Binacional,,Unión Comercio,,5,0,1.40,4.25,6.25
2023-05-22,Sport Boys,,UTC Cajamarca,,3,2,2.24,3.15,2.87
2023-05-26,Academia Cantolao,,Deportivo Garcilaso,,1,1,3.30,3.40,1.94
2023-05-26,Cienciano,,Deportivo Municipal,,1,0,1.45,4.15,5.75
2023-05-27,Alianza Atlético,,Atlético Grau,,3,2,1.95,3.30,3.25
2023-05-27,Real Garcilaso,,Sport Boys,,2,1,1.31,4.23,7.25
2023-05-28,Alianza Lima,,Deportivo Binacional,,6,1,1.30,5.05,9.30
2023-05-28,Carlos Manucci,,Melgar,,1,2,2.78,3.09,2.59
2023-05-28,Sport Huancayo,,Sporting Cristal,,1,1,2.39,3.34,2.73
2023-05-28,UTC Cajamarca,,Universitario,,1,0,1.63,3.24,2.31
2023-05-28,Unión Comercio,,ADT,,4,3,1.57,3.28,2.93
2023-05-31,Melgar,,César Vallejo,,2,2,1.39,4.80,8.00
2023-06-01,Sporting Cristal,,Cienciano,,4,2,1.33,4.60,8.00
2023-06-02,ADT,,Alianza Lima,,2,1,2.38,3.35,2.66
2023-06-02,Universitario,,Real Garcilaso,,1,0,1.29,4.34,7.43
2023-06-03,Deportivo Binacional,,Carlos Manucci,,2,1,1.28,4.80,6.85
2023-06-03,Deportivo Garcilaso,,Unión Comercio,,2,2,1.43,4.50,6.85
2023-06-03,Deportivo Municipal,,Alianza Atlético,,2,1,1.75,3.40,4.00
2023-06-04,Atlético Grau,,Academia Cantolao,,3,0,1.25,4.80,11.00
2023-06-04,César Vallejo,,UTC Cajamarca,,3,1,1.43,4.28,7.40
2023-06-04,Sport Boys,,Sport Huancayo,,1,0,2.80,3.52,2.34
2023-06-09,Cienciano,,Sport Boys,,0,1,1.25,5.50,9.00
2023-06-10,Academia Cantolao,,Deportivo Municipal,,0,1,3.20,3.50,2.00
2023-06-10,Alianza Lima,,Deportivo Garcilaso,,3,2,1.33,4.80,7.00
2023-06-10,Carlos Manucci,,ADT,,1,1,1.83,3.50,3.70
2023-06-10,Melgar,,Deportivo Binacional,,1,0,1.40,3.60,6.50
2023-06-10,Unión Comercio,,Atlético Grau,,2,2,2.25,3.30,2.80
2023-06-11,Alianza Atlético,,Sporting Cristal,,0,0,3.55,3.60,1.97
2023-06-11,Real Garcilaso,,César Vallejo,,2,0,1.53,3.70,5.25
2023-06-11,Sport Huancayo,,Universitario,,1,3,2.44,3.20,2.58
2023-06-22,Academia Cantolao,,Sporting Cristal,,0,2,4.73,3.30,1.68
2023-06-22,Cienciano,,Universitario,,1,1,1.78,2.59,6.14
2023-06-22,Melgar,,ADT,,4,0,1.72,4.19,3.46
2023-06-23,Alianza Lima,,Atlético Grau,,2,0,1.35,4.70,7.25
2023-06-24,Carlos Manucci,,Deportivo Garcilaso,,1,2,2.01,3.25,3.20
2023-06-24,Sport Huancayo,,César Vallejo,,2,0,1.58,3.70,4.60
2023-06-25,Alianza Atlético,,Sport Boys,,1,2,1.63,3.70,4.90
2023-06-25,Unión Comercio,,Deportivo Municipal,,1,3,1.83,3.35,3.95
2023-06-26,Real Garcilaso,,UTC Cajamarca,,2,1,1.45,4.40,6.30
2023-06-30,UTC Cajamarca,,Sport Huancayo,,0,0,2.41,3.05,2.41
2023-07-01,ADT,,Deportivo Binacional,,2,0,1.13,9.17,8.04
2023-07-01,Deportivo Garcilaso,,Melgar,,2,2,2.50,3.20,2.61
2023-07-01,Deportivo Municipal,,Alianza Lima,,0,1,5.95,4.70,1.40
2023-07-02,Atlético Grau,,Carlos Manucci,,0,2,1.50,3.95,5.55
2023-07-02,Sporting Cristal,,Unión Comercio,,3,0,1.31,4.80,7.90
2023-07-03,César Vallejo,,Cienciano,,0,3,1.87,3.35,3.05
