season,date,home_team,away_team,home_odds,draw_odds,away_odds,over_1_5_odds,over_2_5_odds,btts_odds,source
2023,2023-08-26,Deportivo Binacional,Real Garcilaso,1.8,3.6,4,1.32,2.05,1.89,footystats
2023,2023-08-26,Carlos Manucci,Cienciano,2.15,3.15,3.1,1.34,2,1.9,footystats
2023,2023-08-26,Unión Comercio,Academia Cantolao,1.6,3.7,5,1.33,2,1.89,footystats
2023,2023-08-21,César Vallejo,ADT,1.96,3.2,2.98,1.3,1.85,1.85,footystats
2023,2023-08-21,UTC Cajamarca,Deportivo Binacional,1.73,3.5,4.2,1.22,1.67,1.68,footystats
2023,2023-08-21,Sport Boys,Atlético Grau,2.05,3.1,3.4,1.36,1.95,1.85,footystats
2023,2023-08-20,Cienciano,Alianza Lima,2.29,3.3,2.64,1.27,2.01,1.7,footystats
2023,2023-08-20,Sporting Cristal,Deportivo Municipal,1.18,5.49,9.08,1.17,1.48,2.15,footystats
2023,2023-08-19,Universitario,Deportivo Garcilaso,1.29,5,8.35,1.2,1.6,1.78,footystats
2023,2023-08-19,Sport Huancayo,Carlos Manucci,1.57,3.7,5.33,1.33,2,2.05,footystats
2023,2023-08-19,Real Garcilaso,Melgar,2.91,3.31,2.11,1.3,2,1.8,footystats
2023,2023-08-19,Alianza Atlético,Unión Comercio,1.87,3.4,3.76,1.36,2.03,1.95,footystats
2023,2023-08-17,Atlético Grau,Sporting Cristal,2.75,3.05,2.4,1.31,1.88,1.83,footystats
2023,2023-08-17,Deportivo Binacional,César Vallejo,2,3.25,3.65,1.31,1.91,1.84,footystats
2023,2023-08-16,Alianza Lima,Sport Huancayo,1.51,3.8,5.5,1.26,1.87,1.88,footystats
2023,2023-08-16,Deportivo Garcilaso,Sport Boys,1.33,4.75,7,1.28,1.53,1.9,footystats
2023,2023-08-16,Carlos Manucci,Real Garcilaso,2.03,3.18,3.21,1.3,1.9,1.8,footystats
2023,2023-08-16,ADT,Universitario,3.2,3.25,2.25,1.31,2.03,1.81,footystats
2023,2023-08-15,Melgar,UTC Cajamarca,1.25,5.03,5.42,1.26,1.72,2.25,footystats
2023,2023-08-15,Academia Cantolao,Alianza Atlético,2.45,3.15,2.65,1.33,2,1.83,footystats
2023,2023-08-15,Unión Comercio,Cienciano,2.4,3.25,2.65,1.42,2.15,1.93,footystats
2023,2023-08-14,Deportivo Municipal,Atlético Grau,2.11,3,2.83,1.3,1.88,1.76,footystats
2023,2023-08-13,Real Garcilaso,Alianza Lima,2.88,3.1,2.13,1.3,1.98,1.81,footystats
2023,2023-08-13,Sporting Cristal,Deportivo Garcilaso,1.36,4.45,6.3,1.22,1.67,1.91,footystats
2023,2023-08-12,Universitario,Deportivo Binacional,1.17,6.9,15,1.12,1.42,2,footystats
2023,2023-08-12,Cienciano,Academia Cantolao,1.24,4.84,5.8,1.22,1.7,2.1,footystats
2023,2023-08-12,Sport Boys,ADT,2.37,3,2.47,1.35,2,1.8,footystats
2023,2023-08-11,César Vallejo,Melgar,2.45,3.2,2.5,1.29,1.9,1.7,footystats
2023,2023-08-11,UTC Cajamarca,Carlos Manucci,1.68,3.8,4.85,1.27,1.9,1.75,footystats
2023,2023-08-11,Sport Huancayo,Unión Comercio,1.29,5.25,10,1.2,1.68,1.8,footystats
2023,2023-08-07,Deportivo Garcilaso,Deportivo Municipal,1.28,5,8,1.21,1.7,2.3,footystats
2023,2023-08-07,Academia Cantolao,Sport Huancayo,5.1,3.55,1.62,1.3,1.85,1.82,footystats
