MatchDate,TournamentId,Round,MatchId,HomeTeamId,HomeTeamName,AwayTeamId,AwayTeamName,HomeWinOdds,DrawOdds,AwayWinOdds
2023-09-09,406,1,68,0,Cienciano,0,Melgar,2.38,3.35,2.82
2023-09-09,406,1,69,0,Academia Cantolao,0,Alianza Lima,7.8,4.65,1.36
2023-09-04,406,1,70,0,CÃ©sar Vallejo,0,AtlÃ©tico Grau,1.71,3.33,4.45
2023-09-03,406,1,71,0,UTC Cajamarca,0,Deportivo Garcilaso,2.01,3.23,3.3
2023-09-03,406,1,72,0,Sport Huancayo,0,Deportivo Binacional,1.49,4.15,6.85
2023-09-02,406,1,73,0,Real Garcilaso,0,ADT,1.8,3.4,3.8
2023-09-02,406,1,74,0,Alianza AtlÃ©tico,0,Carlos Manucci,2.06,3.25,3.17
2023-08-28,406,1,75,0,Deportivo Garcilaso,0,CÃ©sar Vallejo,1.41,4.2,5.8
2023-08-28,406,1,76,0,ADT,0,UTC Cajamarca,1.67,3.65,4.05
2023-08-27,406,1,77,0,Melgar,0,Sport Huancayo,1.57,4.01,5.43
2023-08-27,406,1,78,0,Deportivo Municipal,0,Sport Boys,2.68,3.38,2.5
2023-08-27,406,1,79,0,AtlÃ©tico Grau,0,Universitario,3.46,3.38,2.07
2023-08-26,406,1,80,0,Alianza Lima,0,Alianza AtlÃ©tico,1.32,4.4,8.25
2023-08-26,406,1,81,0,Deportivo Binacional,0,Real Garcilaso,1.8,3.6,4
2023-08-26,406,1,82,0,Carlos Manucci,0,Cienciano,2.15,3.15,3.1
2023-08-26,406,1,83,0,UniÃ³n Comercio,0,Academia Cantolao,1.6,3.7,5
2023-08-21,406,1,84,0,CÃ©sar Vallejo,0,ADT,1.96,3.2,2.98
2023-08-21,406,1,85,0,UTC Cajamarca,0,Deportivo Binacional,1.73,3.5,4.2
2023-08-21,406,1,86,0,Sport Boys,0,AtlÃ©tico Grau,2.05,3.1,3.4
2023-08-20,406,1,87,0,Cienciano,0,Alianza Lima,2.29,3.3,2.64
2023-08-20,406,1,88,0,Sporting Cristal,0,Deportivo Municipal,1.18,5.49,9.08
2023-08-19,406,1,89,0,Universitario,0,Deportivo Garcilaso,1.29,5,8.35
2023-08-19,406,1,90,0,Sport Huancayo,0,Carlos Manucci,1.57,3.7,5.33
2023-08-19,406,1,91,0,Real Garcilaso,0,Melgar,2.91,3.31,2.11
2023-08-19,406,1,92,0,Alianza AtlÃ©tico,0,UniÃ³n Comercio,1.87,3.4,3.76
2023-08-17,406,1,93,0,AtlÃ©tico Grau,0,Sporting Cristal,2.75,3.05,2.4
2023-08-17,406,1,94,0,Deportivo Binacional,0,CÃ©sar Vallejo,2,3.25,3.65
2023-08-16,406,1,95,0,Alianza Lima,0,Sport Huancayo,1.51,3.8,5.5
2023-08-16,406,1,96,0,Deportivo Garcilaso,0,Sport Boys,1.33,4.75,7
2023-08-16,406,1,97,0,Carlos Manucci,0,Real Garcilaso,2.03,3.18,3.21
2023-08-16,406,1,98,0,ADT,0,Universitario,3.2,3.25,2.25
2023-08-15,406,1,99,0,Melgar,0,UTC Cajamarca,1.25,5.03,5.42
2023-08-15,406,1,100,0,Academia Cantolao,0,Alianza AtlÃ©tico,2.45,3.15,2.65
2023-08-15,406,1,101,0,UniÃ³n Comercio,0,Cienciano,2.4,3.25,2.65
2023-08-14,406,1,102,0,Deportivo Municipal,0,AtlÃ©tico Grau,2.11,3,2.83
2023-08-13,406,1,103,0,Real Garcilaso,0,Alianza Lima,2.88,3.1,2.13
2023-08-13,406,1,104,0,Sporting Cristal,0,Deportivo Garcilaso,1.36,4.45,6.3
2023-08-12,406,1,105,0,Universitario,0,Deportivo Binacional,1.17,6.9,15
2023-08-12,406,1,106,0,Cienciano,0,Academia Cantolao,1.24,4.84,5.8
2023-08-12,406,1,107,0,Sport Boys,0,ADT,2.37,3,2.47
2023-08-11,406,1,108,0,CÃ©sar Vallejo,0,Melgar,2.45,3.2,2.5
2023-08-11,406,1,109,0,UTC Cajamarca,0,Carlos Manucci,1.68,3.8,4.85
2023-08-11,406,1,110,0,Sport Huancayo,0,UniÃ³n Comercio,1.29,5.25,10
2023-08-07,406,1,111,0,Deportivo Garcilaso,0,Deportivo Municipal,1.28,5,8
2023-08-07,406,1,112,0,Academia Cantolao,0,Sport Huancayo,5.1,3.55,1.62
2023-08-06,406,1,113,0,Melgar,0,Universitario,2.05,3.1,3.51
2023-08-06,406,1,114,0,ADT,0,Sporting Cristal,2.45,3.2,2.67
2023-08-06,406,1,115,0,Carlos Manucci,0,CÃ©sar Vallejo,2.75,3.2,2.39
2023-08-06,406,1,116,0,Alianza AtlÃ©tico,0,Cienciano,2.25,3.3,3
2023-08-05,406,1,117,0,Alianza Lima,0,UTC Cajamarca,1.3,4.7,10
2023-08-05,406,1,118,0,Deportivo Binacional,0,Sport Boys,1.55,4.15,5.5
2023-08-04,406,1,119,0,UniÃ³n Comercio,0,Real Garcilaso,2.24,3.07,2.72
2023-08-01,406,1,120,0,Deportivo Municipal,0,ADT,2.25,3.3,3.15
2023-07-31,406,1,121,0,Universitario,0,Carlos Manucci,1.23,5.56,9.44
2023-07-31,406,1,122,0,Sport Huancayo,0,Alianza AtlÃ©tico,1.32,4.6,5.4
2023-07-31,406,1,123,0,Sport Boys,0,Melgar,3.3,3.3,2
2023-07-30,406,1,124,0,AtlÃ©tico Grau,0,Deportivo Garcilaso,1.82,3.14,3.43
2023-07-29,406,1,125,0,CÃ©sar Vallejo,0,Alianza Lima,3.3,3.1,2.15
2023-07-29,406,1,126,0,UTC Cajamarca,0,UniÃ³n Comercio,1.47,4.05,5.2
2023-07-28,406,1,127,0,Real Garcilaso,0,Academia Cantolao,1.23,4.77,8.74
2023-07-27,406,1,128,0,Sporting Cristal,0,Deportivo Binacional,1.21,7.35,10.34
2023-07-24,406,1,129,0,Deportivo Binacional,0,Deportivo Municipal,1.5,4.2,6
2023-07-23,406,1,130,0,ADT,0,AtlÃ©tico Grau,1.7,3.6,4.33
2023-07-23,406,1,131,0,Melgar,0,Sporting Cristal,2.1,3.4,3.1
2023-07-23,406,1,132,0,Carlos Manucci,0,Sport Boys,2.25,3.1,2.9
2023-07-23,406,1,133,0,Academia Cantolao,0,UTC Cajamarca,2.4,3.2,2.73
2023-07-22,406,1,134,0,Alianza Lima,0,Universitario,1.92,3.2,3.45
2023-07-22,406,1,135,0,Alianza AtlÃ©tico,0,Real Garcilaso,2.02,3.09,3.11
2023-07-21,406,1,136,0,Cienciano,0,Sport Huancayo,2.15,3.1,2.95
2023-07-21,406,1,137,0,UniÃ³n Comercio,0,CÃ©sar Vallejo,2.58,3.38,2.68
2023-07-17,406,1,138,0,Deportivo Municipal,0,Melgar,4.33,3.56,1.83
2023-07-16,406,1,139,0,Real Garcilaso,0,Cienciano,2.18,3.35,3.2
2023-07-16,406,1,140,0,Sport Boys,0,Alianza Lima,8.5,4.75,1.29
2023-07-16,406,1,141,0,AtlÃ©tico Grau,0,Deportivo Binacional,1.33,5.25,8.7
2023-07-15,406,1,142,0,CÃ©sar Vallejo,0,Academia Cantolao,1.3,4.6,8.5
2023-07-15,406,1,143,0,Sporting Cristal,0,Carlos Manucci,1.18,6,9.5
2023-07-15,406,1,144,0,Deportivo Garcilaso,0,ADT,1.61,4.1,4.89
2023-07-14,406,1,145,0,Universitario,0,UniÃ³n Comercio,1.18,5.95,11
2023-07-14,406,1,146,0,UTC Cajamarca,0,Alianza AtlÃ©tico,1.77,3.5,4
2023-07-10,406,1,147,0,Sport Huancayo,0,Real Garcilaso,1.73,3.32,3.83
2023-07-09,406,1,148,0,Deportivo Binacional,0,Deportivo Garcilaso,1.97,3.35,2.84
2023-07-09,406,1,149,0,Carlos Manucci,0,Deportivo Municipal,1.29,5.2,9.6
2023-07-09,406,1,150,0,UniÃ³n Comercio,0,Sport Boys,2,3.25,3.25
2023-07-08,406,1,151,0,Alianza Lima,0,Sporting Cristal,1.94,2.97,3.25
2023-07-08,406,1,152,0,Cienciano,0,UTC Cajamarca,1.91,3.31,3
2023-07-08,406,1,153,0,Alianza AtlÃ©tico,0,CÃ©sar Vallejo,2.17,3.2,3.05
2023-07-07,406,1,154,0,Academia Cantolao,0,Universitario,8,4.33,1.36
2023-07-07,406,1,155,0,Melgar,0,AtlÃ©tico Grau,1.4,4.2,7.5
2023-07-04,406,1,156,0,Sport Boys,0,Academia Cantolao,1.47,3.9,5.5
2023-07-03,406,1,157,0,Universitario,0,Alianza AtlÃ©tico,1.26,4.55,5.99
2023-07-03,406,1,158,0,CÃ©sar Vallejo,0,Cienciano,1.87,3.35,3.05
2023-07-02,406,1,159,0,AtlÃ©tico Grau,0,Carlos Manucci,1.5,3.95,5.55
2023-07-02,406,1,160,0,Sporting Cristal,0,UniÃ³n Comercio,1.31,4.8,7.9
2023-07-01,406,1,161,0,Deportivo Municipal,0,Alianza Lima,5.95,4.7,1.4
2023-07-01,406,1,162,0,Deportivo Garcilaso,0,Melgar,2.5,3.2,2.61
2023-07-01,406,1,163,0,ADT,0,Deportivo Binacional,1.13,9.17,8.04
2023-06-30,406,1,164,0,UTC Cajamarca,0,Sport Huancayo,2.41,3.05,2.41
2023-06-26,406,1,165,0,Real Garcilaso,0,UTC Cajamarca,1.45,4.4,6.3
2023-06-25,406,1,166,0,UniÃ³n Comercio,0,Deportivo Municipal,1.83,3.35,3.95
2023-06-25,406,1,167,0,Alianza AtlÃ©tico,0,Sport Boys,1.63,3.7,4.9
