Date,HomeTeam,HomeForm,AwayTeam,AwayForm,HomeGoals,AwayGoals,HomeOdds,DrawOdds,AwayOdds
2026-07-26,UTC Cajamarca,0.80,UCV Moquegua,1.04,0,0,1.50,3.70,4.35
2026-07-25,Melgar,1.63,Sporting Cristal,1.21,2,1,1.68,3.60,4.55
2026-07-25,Juan Pablo II College,1.13,Cienciano,1.60,2,0,2.10,3.20,2.90
2026-07-25,Sport Huancayo,1.08,Atlético Grau,1.21,2,0,1.65,3.40,4.50
2026-07-25,Sport Boys,1.42,ADT,0.92,2,0,1.67,3.70,4.26
2026-07-24,Universitario,1.88,Real Garcilaso,1.63,2,1,1.44,4.00,6.00
2026-07-24,Alianza Atlético,1.48,Los Chankas,1.71,3,1,1.57,3.60,4.80
2026-07-19,Alianza Lima,2.17,Sport Huancayo,1.08,2,1,1.39,4.30,7.00
2026-07-19,Los Chankas,1.71,Sport Boys,1.42,1,0,1.55,3.45,3.78
2026-07-18,Real Garcilaso,1.63,Alianza Atlético,1.48,4,1,1.50,4.05,4.60
2026-07-18,Atlético Grau,1.21,UTC Cajamarca,0.80,3,1,1.80,3.25,4.78
2026-07-18,ADT,0.92,Universitario,1.88,1,2,2.90,3.00,2.35
2026-07-18,UCV Moquegua,1.04,Comerciantes Unidos,1.21,2,2,2.20,3.00,3.10
2026-07-17,Cienciano,1.60,Melgar,1.63,1,3,1.95,3.40,3.60
2026-07-17,Sporting Cristal,1.21,Deportivo Garcilaso,1.75,1,0,1.36,4.50,6.50
2026-07-17,FC Cajamarca,0.96,Juan Pablo II College,1.13,2,2,2.05,3.50,3.19
2026-05-31,Cienciano,1.60,Sporting Cristal,1.21,3,2,1.66,3.94,4.61
2026-05-31,Los Chankas,1.71,UTC Cajamarca,0.80,2,2,2.10,3.20,3.10
2026-05-31,FC Cajamarca,0.96,Alianza Lima,2.17,1,1,4.83,3.35,1.76
2026-05-30,Melgar,1.63,Alianza Atlético,1.48,3,1,1.63,3.70,5.29
2026-05-30,Universitario,1.88,Sport Huancayo,1.08,2,1,1.44,3.70,5.75
2026-05-30,Sport Boys,1.42,Deportivo Garcilaso,1.75,1,0,1.80,3.40,4.25
2026-05-30,Deportivo Garcilaso,1.75,Juan Pablo II College,1.13,4,1,1.35,4.60,7.00
2026-05-23,ADT,0.92,Real Garcilaso,1.63,1,2,1.95,3.40,3.68
2026-05-23,Atlético Grau,1.21,UCV Moquegua,1.04,1,0,1.48,3.85,6.12
2026-05-23,Comerciantes Unidos,1.21,Deportivo Garcilaso,1.75,0,0,2.30,3.00,3.10
2026-05-24,Alianza Atlético,1.48,FC Cajamarca,0.96,1,1,1.62,3.60,4.90
2026-05-24,Sport Huancayo,1.08,Cienciano,1.60,2,2,2.15,3.32,3.07
2026-05-24,Sporting Cristal,1.21,ADT,0.92,2,1,1.75,3.50,3.90
2026-05-23,Alianza Lima,2.17,Los Chankas,1.71,3,0,1.33,4.75,7.00
2026-05-23,Real Garcilaso,1.63,Atlético Grau,1.21,1,0,1.55,3.95,4.50
