Date,HomeTeam,HomeForm,AwayTeam,AwayForm,HomeScore,AwayScore,HomeOdds,DrawOdds,AwayOdds
2024-02-11,Sport Huancayo,1.47,Real Garcilaso,1.24,2,0,1.65,3.50,5.00
2024-02-11,Sport Boys,1.53,Deportivo Garcilaso,0.76,2,0,2.15,3.25,3.10
2024-02-11,Los Chankas,1.88,ADT,0.88,2,0,2.00,3.30,3.40
2024-02-10,Alianza Lima,2.24,Universitario,1.53,0,1,2.29,2.96,2.74
2024-02-10,Carlos Manucci,1.24,Comerciantes Unidos,0.65,1,3,1.63,3.37,4.32
2024-02-10,Melgar,2.59,Alianza Atlético,0.88,1,0,1.17,5.58,9.76
2024-02-09,Cienciano,1.76,Sporting Cristal,1.65,2,2,2.44,3.11,2.44
2024-02-09,UTC Cajamarca,1.47,César Vallejo,1.53,4,0,2.08,3.17,2.92
2024-02-05,Comerciantes Unidos,1.41,Los Chankas,0.41,3,2,2.08,3.55,3.25
2024-02-04,Deportivo Garcilaso,1.41,Sport Huancayo,0.76,0,2,2.08,3.08,2.99
2024-02-04,Sport Boys,1.53,Sporting Cristal,1.65,1,3,3.90,3.50,1.88
2024-02-04,Alianza Atlético,1.71,Alianza Lima,1.82,0,2,3.45,3.45,2.02
2024-02-03,Universitario,3.00,Atlético Grau,1.24,1,0,1.28,5.35,9.20
2024-02-03,Unión Comercio,0.82,Carlos Manucci,1.65,2,2,1.72,3.75,4.60
2024-02-03,ADT,2.12,Cienciano,1.29,1,1,2.28,3.35,2.95
2024-02-02,César Vallejo,1.53,Melgar,1.53,3,2,2.50,3.35,2.65
2024-02-02,Real Garcilaso,2.29,UTC Cajamarca,0.35,1,1,1.42,4.40,6.80
2024-01-29,Los Chankas,1.88,Unión Comercio,0.18,2,1,1.77,3.62,4.40
2024-01-28,Alianza Lima,2.24,César Vallejo,0.24,2,1,1.50,4.00,5.00
2024-01-28,Carlos Manucci,1.24,Universitario,1.53,0,4,3.73,3.35,1.84
2024-01-28,Atlético Grau,1.76,Alianza Atlético,0.88,1,1,1.72,3.90,4.20
2024-01-27,Cienciano,1.76,Comerciantes Unidos,0.65,1,0,1.40,4.60,6.25
2024-01-27,Sport Huancayo,1.47,Sport Boys,0.53,1,0,1.49,4.30,5.90
2024-01-27,Sporting Cristal,2.71,ADT,0.88,6,2,1.34,4.95,7.90
2024-01-26,Melgar,2.59,Real Garcilaso,1.24,2,3,1.52,4.10,5.85
2024-01-26,UTC Cajamarca,1.47,Deportivo Garcilaso,0.76,1,0,2.14,3.15,3.05
2024-11-08,Alianza Lima,2.11,Universitario,2.03,0,2,2.14,2.96,3.00
2024-11-04,Universitario,2.03,Alianza Lima,2.11,1,1,2.10,3.30,3.50
2024-10-29,ADT,1.94,Carlos Manucci,1.00,0,0,1.67,3.40,4.60
2024-10-29,Sporting Cristal,2.44,Alianza Atlético,0.39,3,0,1.30,4.62,8.00
2024-10-29,Universitario,2.63,Sport Huancayo,0.94,2,0,1.29,4.57,8.45
2024-10-29,Deportivo Binacional,1.78,Melgar,1.61,1,2,2.63,3.15,2.42
2024-10-29,Deportivo Garcilaso,1.56,Alianza Lima,1.79,0,1,2.57,3.15,2.48
2024-10-29,Atlético Grau,1.56,Unión Comercio,0.56,0,1,1.85,3.50,3.55
2024-10-28,Deportivo Municipal,1.11,Academia Cantolao,0.61,1,2,1.34,5.01,7.37
2024-10-28,Sport Boys,1.39,Cienciano,0.78,2,1,2.37,3.35,2.57
2024-10-28,César Vallejo,1.53,Real Garcilaso,1.24,3,1,2.13,3.23,3.44
2024-10-23,Academia Cantolao,0.83,Atlético Grau,0.61,0,4,2.90,3.60,2.10
2024-10-22,Cienciano,1.89,Sporting Cristal,1.50,1,0,2.50,3.10,2.80
2024-10-22,Carlos Manucci,1.50,Deportivo Binacional,0.17,3,2,1.85,3.20,4.20
2024-10-22,Sport Huancayo,2.17,Sport Boys,0.89,2,0,1.60,4.00,4.75
2024-10-22,Unión Comercio,1.44,Deportivo Garcilaso,1.33,1,2,2.00,3.30,3.30
2024-10-21,Real Garcilaso,2.28,Universitario,1.42,1,1,2.80,3.10,2.40
2024-10-21,Alianza Lima,2.42,ADT,1.11,0,0,1.45,3.80,7.00
2024-10-21,Alianza Atlético,1.78,Deportivo Municipal,1.00,1,2,1.44,4.75,5.75
2024-10-20,UTC Cajamarca,1.72,César Vallejo,1.11,1,1,2.15,3.40,3.10
2024-09-25,Deportivo Municipal,1.11,Real Garcilaso,0.50,2,0,3.16,2.99,2.04
2024-09-24,Deportivo Garcilaso,1.56,Cienciano,0.78,0,3,2.00,3.27,3.00
2024-09-24,Carlos Manucci,1.50,Alianza Lima,1.79,1,2,3.97,3.26,1.72
2024-09-24,Melgar,1.89,Unión Comercio,0.56,3,1,1.24,4.38,9.59
2024-09-24,Sport Boys,1.39,César Vallejo,1.11,0,2,2.62,2.99,2.36
2024-09-24,ADT,1.94,Alianza Atlético,0.39,1,0,1.51,3.52,5.13
2024-09-23,Deportivo Binacional,1.78,Academia Cantolao,0.61,1,0,1.50,4.00,5.00
2024-09-21,César Vallejo,1.72,Sporting Cristal,1.50,0,1,2.88,3.10,2.27
2024-09-21,Real Garcilaso,2.28,Atlético Grau,0.61,0,0,1.65,3.55,4.50
